cole-march,li-drory-march,perez,baldry,muzzin,li,li-march,santini,caputi,duncan,lee,fontana
1,0,1,1,1,1,0,0,0,0,0,0
1,0,1,1,1,1,0,0,0,0,0,0
0,0,1,0,1,0,1,0,0,0,0,0
0,0,1,0,1,0,1,0,0,0,0,0
0,0,1,0,1,0,1,0,0,0,0,0
0,1,1,0,1,0,1,0,0,0,0,0
0,1,1,0,1,0,1,0,0,0,0,0
0,1,1,0,1,0,1,0,0,0,0,1
0,1,1,0,1,0,1,0,0,0,0,1
0,1,1,0,1,0,1,0,0,0,0,1
0,1,1,0,1,0,1,1,0,0,0,1
0,1,1,0,1,0,1,1,0,0,0,1
0,1,1,0,1,0,1,1,0,0,0,1
0,1,1,0,1,0,1,1,0,0,0,1
0,1,1,0,1,0,1,1,0,0,0,1
0,1,1,0,1,0,1,1,0,0,0,1
0,0,1,0,1,0,1,1,0,0,0,1
0,0,1,0,1,0,1,1,0,0,0,1
0,0,1,0,1,0,1,1,0,0,0,1
0,0,1,0,1,0,1,1,0,0,0,1
0,0,1,0,1,0,1,1,0,0,0,1
0,0,1,0,1,0,1,1,0,0,0,1
0,0,1,0,1,0,1,1,0,0,0,1
0,0,1,0,1,0,1,1,0,0,0,1
0,0,1,0,1,0,1,1,0,0,0,1
0,0,1,0,1,0,1,1,0,0,0,1
0,0,1,0,1,0,1,1,0,0,0,1
0,0,1,0,1,0,1,1,0,0,0,1
0,0,1,0,1,0,1,1,0,0,0,1
0,0,1,0,1,0,1,1,1,0,0,1
0,0,1,0,1,0,1,1,1,0,0,1
0,0,1,0,1,0,1,1,1,0,0,1
0,0,0,0,1,0,1,1,1,0,0,1
0,0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,0,0,1,1,1,1,0
